id;marche;SOURCE;DT_UPDATE;DT_ARRETE;NU_CNT;NOM_CLI;CD_INT_STC;CD_PRD;PTGST;DT_EFF_AFN_CNT;DT_EFF_RESIL_CNT;DT_ECH_AN_CNT;CD_APERIT;TXACPT;INDICE_CNT;NBRE_SITES;CDSIREN;CDTRE_CNT;CDNAF;LCI_G;RESEAU;NM_INT;INTERNATIONAL;SOUS_LIMITE_EV_NAT;MONTANT;SOUS_LIMITE;COMMENTAIRE;BATCH;DICID;ID_SITE;NOM_SITE;DT_MAJ_SITE;DATE_VISITE_SITE;STOCK;CDTRE_1;CDNAF_1;CD_SIRET;QUALITE_JURID;USAGE;TYPE_BIEN;TYPE_RESIDENCE;ETAGE;EXCL_RISQ_LOCATIFS;EXCL_RISQ_BAT;NB_PIECE;SURFACE;SURFACE_DPDCE;PRIME_TTC;PRIME_PTF_ANN_HT;BATIMENT_CLASSE;BATIMENT_OCCUPE;PISCINES;HOTEL_NB_ETOILES;HOTEL_RESTAURANT;HOTEL_NB_CHB;LCI_BAT_CLASSE;LCI_GRD_RISQ;LCI_DEPENDANCE;DATE_EFFET_CAPITAUX;INDICE_CAPITAUX_MURS_BATIMENTS;CAPITAUX_MURS_BATIMENTS;CONTENU;INDICE_CAPITAUX_CONTENU;CAPITAUX_CONTENU;INDICE_CAPITAUX_MATERIELS;CAPITAUX_MATERIEL;INDICE_CAPITAUX_MARCHANDISES;CAPITAUX_MARCHANDISES;INDICE_CAPITAUX_ASS_MH_HLL_CARAV;CAPITAUX_ASS_MH_HLL_CARAV;INDICE_CAPITAUX_DEPENDANCE;CAPITAUX_DEPENDANCE;INDICE_CAPITAUX_COMPL;CAPITAUX_COMPL;INDICE_CAPITAUX_DD;CAPITAUX_DD;MARGE_BRUTE;PERIODE_INDEM_PE;CHIFFAFF_SITE;PERTE_LOYER;INDICE_VAL_PE;VAL_PE;SMP_INITIAL;LCI_GLOB;LCI_ATTENTAT;FRANCHISE_GLOB;UNI_FRAN_GLOB;MIN_FRAN_GLOB;MAX_FRAN_GLOB;FRANCHISE_INC;UNI_FRAN_INC;FRANCHISE_DDE;UNI_FRAN_DDE;FRANCHISE_PE;UNI_FRAN_PE;LIMITE_TGN;FRANCHISE_TGN;UNI_FRAN_TGN;MIN_FRAN_TGN;MAX_FRAN_TGN;NUM_VOIE_SITE;RUE_SITE;NUM_RUE_SITE;LIEU_DIT_SITE;CP_SITE;VILLE_SITE;ADRESSE_SITE;PAYS_SITE;COORD_X_SITE;COORD_Y_SITE;QUALITE_GEOCODAGE;LIMITE_INOND;FRANCHISE_INOND;UNI_FRAN_INOND;LIMITE_TREMB;FRANCHISE_TREMB;UNI_FRAN_TREMB;LIMITE_EMEUTES;FRANCHISE_EMEUTES;UNI_FRAN_EMEUTES;LIMITE_TOC;FRANCHISE_TOC;UNI_FRAN_TOC;TYPE_SITE;CEDANTE;ID_GAREAT;APERITEUR;NOM_APERITEUR;POL_APERITEUR;CD_SIREN_SIRET;CDNAF_GAREAT;LIBNAF_GAREAT;CDSIC;LIBSIC;TX_DEROG_ATT;LCI_MULTISITE;CAPITAUX_TT;RSQ_NUCLEAIRE;RSQ_SEVESO;TRC_TRME;MULTI_SITE;PORTEE_LIGNE;CD_GAR_CAR_FOURNIS;GAR_CAR_FOURNIS;CAR_FOURNIS_NNDENOM;CAR_FOURNIS_ENERGIE;CD_CAR_CLIENT;CAR_CLIENT;CAR_CLIENT_NNDENOM;CAR_CLIENT_ENERGIE;COM_GAREAT;CD_LC360;DICID_SITE
723798;PROF;;2022-09-13;2026-03-03;62587327;"SAS   BLEU ELECTRIQUE";144111;01092;N07;;;;A;100;R.I.;2;;;;0;Courtage;;0;;;;;0;"Remplacement 55296727";2;"GIGNAC LA MERTHE";2022-09-13;;1;;;;LOC;MAS;;;;N;N;;927;;;;N;N;0;0;N;0;;;;;;;;;1500000;;;;;;;;;;;;;;;3921537;;;;;;;;;;;;;;;;;;;;;;3;"1665 AVENUE DE LA MEDITERRANEE - BAT B -";;;13180;"GIGNAC LA MERTHE";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;QUIRINJ
1097811;RI&GAR;;2024-03-06;2026-03-03;049233544;"SAS COVADIS";H96118;00640;N17;;;;A;100;R.I.;2;;;;0;;P+;0;;;;;0;"SAS COVADIS";a-1;"CC ELECLERC";2024-03-06;2025-07-10;1;;;;NR;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-10;;28013204;;;9347933;;6092176;;3300000;;;;;;;;37057698;8070000;24;;;;16140000;;60000000;;;;;;;;;;;;;;;;;130;"Boulevard Charles De Gaulle";"130 Boulevard Charles De Gaulle";;92700;Colombes;"130 Boulevard Charles De Gaulle, 92700 Colombes";FRANCE;2.22975;48.91413;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;53197698;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1097812;RI&GAR;;2024-03-06;2026-03-03;049233544;"SAS COVADIS";H96118;00640;N17;;;;A;100;R.I.;2;;;;0;;P+;0;;;;;0;"SAS COVADIS";a-2;"AGENCE DE VOYAGE";2024-03-06;;1;;;;;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;100000;;;0;;0;;0;;;;;;;;100000;0;24;;;;0;;;;;;;;;;;;;;;;;;;104;"Boulevard Charles De Gaulle";"104 Boulevard Charles De Gaulle";;92700;Colombes;"104 Boulevard Charles De Gaulle, 92700 Colombes";FRANCE;2.23169;48.91272;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;100000;O;O;N;Oui;;N;;;;O;;;;;;GATEUIM
1799647;RI&GAR;;2025-06-02;2026-03-03;62611878;"BEST GROUP";;;N20;;;;A;100;R.I.;2;;;;19900000;;;0;;;;;0;;1;Lambres-lez-Douai;2025-06-02;;1;462T2;;;;;;;;N;N;;1;;;;N;N;0;0;N;0;;;;;;;;;;;602310.86;;3537321.70;;;;;;;;;;18;;;;3700000;;;;;;;;;;;;;;;;;;;43;"LOUIS BLERIOT";;;59552;Lambres-lez-Douai;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;3700000;N;N;N;Oui;;N;;;;O;;;;;;BOURRDA
1799649;RI&GAR;;2025-06-02;2026-03-03;62611878;"BEST GROUP";;;N20;;;;A;100;R.I.;2;;;;19900000;;;0;;;;;0;;2;TERNAY;2025-06-02;;1;967T1;;;;;;;;N;N;;1;;;;N;N;0;0;N;0;;;;;;;;;;;30000;;230000;;;;;;;;;;18;;;;730000;;;;;;;;;;;;;;;;;;;10;"Avenue Z.A.C. de Chassagne";;;69360;TERNAY;;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;730000;N;N;N;Oui;;N;;;;O;;;;;;BOURRDA
1799651;RI&GAR;;2025-06-02;2026-03-03;60646233;"COMMUNICA CONCEPT";;01065;N20;;;;A;100;R.I.;2;;;;0;;;0;;;;;0;;1;"ANDREZIEUX BOUTHEON RUE FRANCOIS DURAFOUR";2025-06-02;;1;964T2;;;;;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;1538863.52;;;;;500536.14;;1584714.79;;;;;;;;;;12;;;;11234647;;;;;;;;;;;;;;;;;;;10;"RUE FRANCOIS DURAFOUR";;;42160;"ANDREZIEUX BOUTHEON";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;11234647;N;N;N;Oui;;N;;;;O;;;;;;BOURRDA
1799653;RI&GAR;;2025-06-02;2026-03-03;60646233;"COMMUNICA CONCEPT";;01065;N20;;;;A;100;R.I.;2;;;;0;;;0;;;;;0;;2;"ANDREZIEUX BOUTHEON RUE jacques de lesseps";2025-06-02;;1;964T2;;;;;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;3000000;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;405;"RUE jacques de lesseps";;;42160;"ANDREZIEUX BOUTHEON";;FRANCE;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;0;N;N;N;Oui;;N;;;;O;;;;;;BOURRDA
1109246;RI&GAR;;2024-03-07;2026-03-03;049233596;"SAS FOSDIS";H96118;00640;N17;;;;A;100;R.I.;2;;;;0;;P+;0;;;;;0;"SAS FOSDIS";1033816;"CC ELECLERC";2024-03-07;2025-07-10;1;964T1;;;NR;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-10;;16797416;;;5200000;;3727067;;1850000;;;;;;;;21875429;4500000;24;;;;9000000;;40000000;;;;;;;;;;;;;;;;;21;"rue Jules Michelet";"21 rue Jules Michelet";;92700;Colombes;"21 rue Jules Michelet , 92700 Colombes";FRANCE;2.267334;48.932395;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;30875429;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1109247;RI&GAR;;2024-03-07;2026-03-03;049233596;"SAS FOSDIS";H96118;00640;N17;;;;A;100;R.I.;2;;;;0;;P+;0;;;;;0;"SAS FOSDIS";1033789;"PORT DE GENNEVILLIERS, route Principale du Port 49";2024-03-07;2025-07-10;1;964T1;;;NR;MCP;;;;N;N;;459;;;;N;N;0;0;N;0;;;;2025-07-10;;0;;;660000;;302195;;300000;;;;;;;;660000;0;12;;;;0;;40000000;;;;;;;;;;;;;;;;;49;"Route Principale Du Port";"49 Route Principale Du Port";;92230;Gennevilliers;"49 Route Principale Du Port, 92230 Gennevilliers";FRANCE;2.27365;48.93684;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;660000;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1013648;RI&GAR;IMS;2020-03-31;2026-03-03;54014218;RGC;400354;01065;N20;2014-01-03;;0101;A;80;R.I.;2;442814885;*538;;45000000;Agence;"MONTPELLIER MAGUELONNE";0;;;;;1;BOUVRYN;793938;"NANCY PRINT";2023-06-06;;1;538T2;;;;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;1219126;;;9872945;;9713298;;159647;;;;;;;;11092071;3016295;12;;;;3016295;;;;;;;;;;;;;;;;;;;6;"Rue Claude Debussy";"6 Rue Claude Debussy";;54140;Jarville-la-Malgrange;"6 Rue Claude Debussy, 54140 Jarville-la-Malgrange";FRANCE;6.213155;48.66892;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;14108366;O;O;N;Oui;;N;;;;O;;;;;;MAGNINJ
1013649;RI&GAR;IMS;2020-03-31;2026-03-03;54014218;RGC;400354;01065;N20;2014-01-03;;0101;A;80;R.I.;2;442814885;*538;;45000000;Agence;"MONTPELLIER MAGUELONNE";0;;;;;1;BOUVRYN;793949;CILA;2023-06-06;2025-07-22;1;538T2;;;NR;MCP;;;;N;N;;;;;;N;N;0;0;N;0;;;;2025-07-22;;8929608;;;9960252;;9399587;;560665;;;;;;;;18889860;5135854;12;;;;5135854;;;;;;;;;;;;;;;;;;;7;"Avenue Ampère";"Avenue Ampère";"zi de l'erette";44810;Héric;"Avenue Ampère, 44810 Héric";FRANCE;-1.64869;47.382306;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;24025714;O;O;N;Oui;NSP;N;;;;O;;;;;;BAULIEA
1001779;RI&GAR;;0000-00-00;2026-03-03;58460789;"SAEM SPORTS et TOURISME ";400753;01065;N20;;;01/10;A;100;R.I.;2;795680131;910;;19900000;;"Agence ALLIANZ de Thonon les Bains ";0;;;;;0;;1;;2023-03-23;2023-10-24;1;;;;NR;;;;;N;N;;;;;;N;N;0;0;N;0;;;;2023-10-24;;20896699;;;;;162364610;;611132;;;;;;;;183872441;;18;;;;32795285;;;;;;;;;;;;;;;;;;;"1281 ";"ROUTE DE VONNES";;;74390;CHATEL;;FRANCE;;;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;216667726;N;N;N;Oui;NSP;N;;;;O;;;;;;MAGNINJ
1001780;RI&GAR;;0000-00-00;2026-03-03;58460789;"SAEM SPORTS et TOURISME ";400753;01065;N20;;;01/10;A;100;R.I.;2;795680131;910;;19900000;;"Agence ALLIANZ de Thonon les Bains ";0;;;;;0;;2;;2023-03-23;2023-10-24;1;;;;NR;;;;;N;N;;;;;;N;N;0;0;N;0;;;;2023-10-24;;3244580;;;;;24701007;;3179196;;;;;;;;31124783;;18;;;;2470119;;;;;;;;;;;;;;;;;;;185;"ROUTE DES FRASSES";;;74360;"La Chapelle-d'Abondance";;FRANCE;;;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;33594902;N;N;N;Oui;NSP;N;;;;O;;;;;;MAGNINJ
678578;RI&GAR;;2022-03-22;2026-03-03;62951515;CITEL;;;N30;;;;C;85;R.I.;2;;;;0;;;0;;;;;0;;1;Entrepôt;2022-03-22;;1;;;;PRO;S;;;;N;N;;;;;;N;N;0;0;N;0;;;;;;1346736;;;;;2866301;;3000000;;;;;;;;7213037;3430913;12;;;;3430913;;;;;;;;;;;;;;;;;;;3;"impasse de la blanchisserie";"3 impasse de la blanchisserie";;51100;REIMS;;France;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;10643950;N;N;N;Oui;;N;;;;O;;;;;;OUAGUIN
678579;RI&GAR;;2022-03-22;2026-03-03;62951515;CITEL;;;N30;;;;C;85;R.I.;2;;;;0;;;0;;;;;0;;2;Blanchisserie;2022-03-22;;1;;;;PRO;S;;;;N;N;;5775;;;;N;N;0;0;N;0;;;;;;6317;;;;;42114;;1000000;;;;;;;;1048431;3430913;12;;;;3430913;;;;;;;;;;;;;;;;;;;2;"impasse de la blanchisserie";"2 impasse de la blanchisserie";;51100;REIMS;;France;;;;;;;;;;;;;;;;;"Allianz France";H016;N;;;;;;;;;Oui;4479344;N;N;N;Oui;;N;;;;O;;;;;;OUAGUIN
1114640;RI&GAR;;2024-03-08;2026-03-03;056424867;"SAS HOUDIS";H96118;00640;N17;;;;A;90;R.I.;2;;;;0;;P+;0;;;;;0;"SAS HOUDIS";1034186;"CC ELECLERC";2024-03-08;2025-07-11;1;964T1;;;NR;MCP;;;;N;N;;1995;;;;N;N;0;0;N;0;;;;2025-07-11;;1213691;;;3228940;;2016456;;1460000;;;;;;;;4428940;6600000;24;;;;13200000;;19900000;;;;;;;;;;;;;;;;;89;"Boulevard Jean Jaurès";"89 Boulevard Jean Jaurès			";;78800;Houilles;"89 Boulevard Jean Jaurès, 78800 Houilles";FRANCE;2.197819;48.921345;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;17628940;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
1114641;RI&GAR;;2024-03-08;2026-03-03;056424867;"SAS HOUDIS";H96118;00640;N17;;;;A;90;R.I.;2;;;;0;;P+;0;;;;;0;"SAS HOUDIS";1034195;ENTREPOTS;2024-03-08;2025-07-11;1;964T1;;;NR;MCP;;;;N;N;;780;;;;N;N;0;0;N;0;;;;2025-07-11;;671487;;;320000;;120000;;200000;;;;;;;;991487;0;12;;;;0;;19900000;;;;;;;;;;;;;;;;;21;"Rue Jean De La Fontaine";"21 Rue Jean De La Fontaine";;78800;Houilles;"21 Rue Jean De La Fontaine, 78800 Houilles";FRANCE;2.19858;48.91955;;;;;;;;;;;;;;SECONDAIRE;"Allianz France";H016;O;;;;;;;;;Oui;991487;O;O;N;Oui;NSP;N;;;;O;;;;;;COLINAR
