id;marche;SOURCE;DT_UPDATE;DT_ARRETE;NU_CNT;NOM_CLI;CD_INT_STC;CD_PRD;PTGST;DT_EFF_AFN_CNT;DT_EFF_RESIL_CNT;DT_ECH_AN_CNT;CD_APERIT;TXACPT;INDICE_CNT;NBRE_SITES;CDSIREN;CDTRE_CNT;CDNAF;LCI_G;RESEAU;NM_INT;INTERNATIONAL;SOUS_LIMITE_EV_NAT;MONTANT;SOUS_LIMITE;COMMENTAIRE;BATCH;DICID;ID_SITE;NOM_SITE;DT_MAJ_SITE;DATE_VISITE_SITE;STOCK;CDTRE_1;CDNAF_1;CD_SIRET;QUALITE_JURID;USAGE;TYPE_BIEN;TYPE_RESIDENCE;ETAGE;EXCL_RISQ_LOCATIFS;EXCL_RISQ_BAT;NB_PIECE;SURFACE;SURFACE_DPDCE;PRIME_TTC;PRIME_PTF_ANN_HT;BATIMENT_CLASSE;BATIMENT_OCCUPE;PISCINES;HOTEL_NB_ETOILES;HOTEL_RESTAURANT;HOTEL_NB_CHB;LCI_BAT_CLASSE;LCI_GRD_RISQ;LCI_DEPENDANCE;DATE_EFFET_CAPITAUX;INDICE_CAPITAUX_MURS_BATIMENTS;CAPITAUX_MURS_BATIMENTS;CONTENU;INDICE_CAPITAUX_CONTENU;CAPITAUX_CONTENU;INDICE_CAPITAUX_MATERIELS;CAPITAUX_MATERIEL;INDICE_CAPITAUX_MARCHANDISES;CAPITAUX_MARCHANDISES;INDICE_CAPITAUX_ASS_MH_HLL_CARAV;CAPITAUX_ASS_MH_HLL_CARAV;INDICE_CAPITAUX_DEPENDANCE;CAPITAUX_DEPENDANCE;INDICE_CAPITAUX_COMPL;CAPITAUX_COMPL;INDICE_CAPITAUX_DD;CAPITAUX_DD;MARGE_BRUTE;PERIODE_INDEM_PE;CHIFFAFF_SITE;PERTE_LOYER;INDICE_VAL_PE;VAL_PE;SMP_INITIAL;LCI_GLOB;LCI_ATTENTAT;FRANCHISE_GLOB;UNI_FRAN_GLOB;MIN_FRAN_GLOB;MAX_FRAN_GLOB;FRANCHISE_INC;UNI_FRAN_INC;FRANCHISE_DDE;UNI_FRAN_DDE;FRANCHISE_PE;UNI_FRAN_PE;LIMITE_TGN;FRANCHISE_TGN;UNI_FRAN_TGN;MIN_FRAN_TGN;MAX_FRAN_TGN;NUM_VOIE_SITE;RUE_SITE;NUM_RUE_SITE;LIEU_DIT_SITE;CP_SITE;VILLE_SITE;ADRESSE_SITE;PAYS_SITE;COORD_X_SITE;COORD_Y_SITE;QUALITE_GEOCODAGE;LIMITE_INOND;FRANCHISE_INOND;UNI_FRAN_INOND;LIMITE_TREMB;FRANCHISE_TREMB;UNI_FRAN_TREMB;LIMITE_EMEUTES;FRANCHISE_EMEUTES;UNI_FRAN_EMEUTES;LIMITE_TOC;FRANCHISE_TOC;UNI_FRAN_TOC;TYPE_SITE;CEDANTE;ID_GAREAT;APERITEUR;NOM_APERITEUR;POL_APERITEUR;CD_SIREN_SIRET;CDNAF_GAREAT;LIBNAF_GAREAT;CDSIC;LIBSIC;TX_DEROG_ATT;LCI_MULTISITE;CAPITAUX_TT;RSQ_NUCLEAIRE;RSQ_SEVESO;TRC_TRME;MULTI_SITE;PORTEE_LIGNE;CD_GAR_CAR_FOURNIS;GAR_CAR_FOURNIS;CAR_FOURNIS_NNDENOM;CAR_FOURNIS_ENERGIE;CD_CAR_CLIENT;CAR_CLIENT;CAR_CLIENT_NNDENOM;CAR_CLIENT_ENERGIE;COM_GAREAT;CD_LC360;DICID_SITE
;;IMS;2020-03-31;2026-03-03;59375444;"SOC RAIGI";4A1318;640;N30;2018-07-01;;0701;A;100;;0;712013424;*320;;0;COURTAGE;"GRAS SAVOYE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56066075;"OR BRUN";152669;1065;N20;2016-01-01;;0101;A;100;;0;324632405;*305;;0;COURTAGE;"BERGER ASSURANCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59788408;"NS RAIL";H93065;1072;N23;2018-10-12;;0101;A;100;;0;842753709;;;0;AGENCE;"MONTPELLIER EUROPE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58772664;"CHATEAU DE CORCELLES EN BEAUJO";4F2479;640;N30;2018-01-01;;0101;A;100;;0;633780044;*782;;0;COURTAGE;"AON FRANCE ACC";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60860550;"YNCREA HAUTS DE FRANCE";181019;640;N31;2019-01-01;;0901;A;48;;0;783706997;*901;;0;COURTAGE;"ASSURANCES VERSPIEREN";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60620134;XELEK;484648;1065;N30;2019-09-19;;0101;A;100;;0;502136898;*998;;0;COURTAGE;"SIACI SAINT HONORE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017673394;"AHORRO FAMILIAR/AXA REIM";G36142;MRI;N31;2010-07-01;;0011;C;0.265;;0;492115464;964;;36000000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45240643;GRANVILMER;4A8068;1065;N17;2010-01-01;;0101;A;100;;0;342030665;*738;;0;COURTAGE;"LE LITTORAL";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017093753;"EMAILLERIE RHENANE";G13133;MRI;N31;2001-07-01;;0011;A;1;;0;481231603;208;;3625900;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017494962;"CAP 1MMO SUD RES""BAINS DE MER""";G14228;MRI;N30;2007-11-01;;0111;A;1;;0;343142923;948;;19900000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58805883;"FINANCIERE DAV";181014;640;N31;2018-01-01;;0101;A;100;;0;383148137;*208;;0;COURTAGE;"GRAS SAVOYE NORD";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;49943444;"CHARGEURS BATTERIES";140093;538;M14;2013-02-21;;1001;A;100;;0;327543781;;;0;COURTAGE;"AIXOISE DE GEST D'ASCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59959511;"DUCHESNE-BOISSIERE ET AUGUSTIN";4F2996;640;N12;2018-12-06;;0101;A;100;;0;357503838;*208;;0;COURTAGE;"GRAS SAVOYE DERO";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56114027;"GROUPE SIGNATURE";4E0535;1068;N35;2016-02-01;;0201;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45249043;"POSSON PACKAGING";H91405;1065;N17;2010-01-01;;0401;A;100;;0;577250087;*538;;0;AGENCE;"CAEN SAINT MARTIN";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;V5;2020-03-31;2026-03-03;Z017495372;"LE MAJESTIC ET SCI LE GRAND PALAIS";G23784;MRI;N31;2007-11-08;;0118;A;1;R.I.;0;406880120;943;;1333333;;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;57598565;"LA HOULE ARMEMENT";4A8068;1072;N17;2017-01-01;;0101;A;100;;0;414002584;;;0;COURTAGE;"LE LITTORAL";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;V5;2020-03-31;2026-03-03;Z017109683;"MAIRIE DE AUTREPPES";G28160;MRI;N30;2002-01-01;;0011;A;1;R.I.;0;210200408;870;;17429880;;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;V5;2020-03-31;2026-03-03;Z017682702;"AEQUS AEROSPACE FRANCE";G11113;MRI;N30;2010-10-01;;0041;A;1;R.I.;0;490362241;208;;24950000;;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60752457;"TENDANCE KART";4E0535;1053;N35;2019-11-12;;0101;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60863683;DECELECT;502250;1065;N12;2020-01-01;;0101;A;100;;0;493430417;*320;;0;AGENCE;"SAINT QUENTIN";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017499658;"CLESUD TERMINAL";G17230;MRI;N31;2007-12-06;;0011;A;1;;0;478078645;RS;;12271474;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;V5;2020-03-31;2026-03-03;Z017112849;"LE FESTIVAL";G23784;MRI;N31;2001-12-18;;0011;A;1;R.I.;0;327155065;943;;982800;;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58873167;RIVIERRE;481696;1065;N31;2018-01-01;;0101;A;100;;0;489248070;*208;;0;COURTAGE;"A 2 S COURTAGE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45701851;RAILMAT;H93065;1072;N20;2010-05-28;;0101;A;100;;0;492081625;;;0;AGENCE;"MONTPELLIER EUROPE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017501391;"CINECHALLES ET SARL LE PARIS";G23784;MRI;N31;2007-11-05;;1022;A;1;;0;643680150;943;;3474900;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56949846;"SARL VAISON SPORTS";4E0535;1068;N35;2016-07-20;;1001;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017687738;MOLIERE;G28254;MRI;N31;2011-01-01;;0011;A;0.6;;0;435372826;RS;;70000000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59938173;"GLISSE AUTO CONCEPT";4E0535;1053;N35;2018-12-21;;0101;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59531333;"TECHNI PARTNERS";H92503;1065;N12;2018-07-01;;0101;A;100;;0;420804403;*208;;0;AGENCE;VALDAHON;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59064088;SOPHIM;H90435;1065;N23;2018-01-01;;0101;A;100;;0;338026248;*308;;0;AGENCE;MANOSQUE;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;57813429;"ADVIVO SOLAIRE";484648;538;N06;2017-03-15;;0101;A;100;;0;821014396;;;0;COURTAGE;"SIACI SAINT HONORE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;46586057;"REYNAUD FILS";400272;538;N23;2011-03-23;;0701;A;100;;0;449288356;;;0;AGENCE;"ROMANS VERCORS";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;;2025-08-28;2026-03-03;49424602;"LA CAVALCADE";581091;01057;;2012-12-13;;1312;A;100;R.I.;0;;;;5000000;Agence;;0;;;;;0;"LA CAVALCADE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017120362;"SEDAN CINEMA";G23784;MRI;N31;2002-04-01;;0041;A;1;;0;685580441;943;;346000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RI&GAR;IMS;2021-05-25;2026-03-03;017931902;"LOOK CYCLE INTERNATUIONAL ";488407;00640;N30;2011-01-01;;01/01;A;100;R.I.;0;419513262;208;C;45000000;Courtage;"FINAXY ENTREPRISES IDF";1;CONTRAT;2200000;ANNUELLE;;0;WEUGUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56624728;"LYCEE PROFESSIONNEL";4E0535;1053;N35;2016-05-15;;0101;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45463502;LTSC;486557;1065;N11;2010-01-01;2020-02-12;0101;A;100;;0;443479605;*958;;0;COURTAGE;OFEGA;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59901359;"REGIE MUNICIPALE GAZ ELECTRICI";400757;1065;N20;2019-01-01;;0101;A;100;;0;408858629;*899;;0;AGENCE;SALLANCHES;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;54319069;BI-VERT;H96050;1072;N06;2014-08-12;;0101;A;100;;0;522942077;;;0;AGENCE;CLERMONT;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;57172882;"VAISON PISTE";4E0535;1053;N35;2016-10-01;;0101;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;49447154;DOUMEN;170042;1072;N17;2013-01-01;;0101;A;100;;0;641980206;;;0;COURTAGE;"TREFFEL ASSURANCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60875411;"V 33 SA";4A2080;640;N20;2020-01-01;;0101;C;30;;0;305690158;*386;;0;COURTAGE;XYLASSUR;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017128022;PALACE;G23784;MRI;N31;2002-07-01;;0071;A;1;;0;310776323;943;;483120;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58632346;"PIERRE FREY";4F1114;640;N11;2018-01-01;;0101;A;70;;0;582015251;*413;;0;COURTAGE;"HOCHE COURCELLES ASSCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;55145653;C2F;H93065;1072;N23;2015-05-12;;0101;A;100;;0;808522130;;;0;AGENCE;"MONTPELLIER EUROPE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45648970;"BRICO DECOR";H94309;1065;N20;2010-05-27;;0101;A;100;;0;408402824;*966;;0;AGENCE;"LE PUY";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017128494;"SYNDICAT MIXTE POUR L'AM{NAGEMENT DE";G11287;MRI;N17;2002-07-26;;0011;A;0.75;;0;258102284;993;;12841319;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56949526;"RUFFIER AND CO";4E0535;1053;N35;2016-07-20;;0901;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45662665;T.V.F;H93065;1072;N20;2010-05-27;;0101;A;100;;0;502922651;;;0;AGENCE;"MONTPELLIER EUROPE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59379802;"CONSTRUCTIONS MECANIQUES";H96050;01065;N12;2018-07-01;;1231;A;100;;0;695780502;*218;;0;AGENCE;CLERMONT;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56949579;"MOTORSPORT ACADEMY";4E0535;01053;N35;2016-07-20;;0901;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;49429519;"VIASOL-NEOVIA TECHNOLOGIE";H99217;01072;N06;2013-01-01;;0101;A;100;;0;537802126;;;0;AGENCE;"BOULOGNE BILLANCOURT";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
